index,Data,ID Produto,ID Cliente,Preço,Preço Unitário,Quantidade,Situação,ID Canal de Venda,ID Vendedor
0,13/11/2025,1,6,23.44,28.13,88,N,1,7
1,1/3/2025,1,7,23.44,28.13,51,N,2,1
2,10/6/2025,1,13,23.44,28.13,108,N,2,6
3,26/6/2025,1,3,23.44,28.13,135,N,1,9
4,12/5/2025,1,15,23.44,28.13,71,C,2,2
5,12/8/2025,1,2,23.44,28.13,141,N,1,10
6,3/8/2025,1,8,23.44,28.13,19,N,2,3
7,16/10/2025,1,8,23.44,28.13,84,N,1,3
8,12/4/2025,1,13,23.44,28.13,68,N,1,4
9,27/4/2025,1,5,23.44,28.13,139,N,1,5
10,3/8/2025,1,10,23.44,28.13,28,N,2,6
11,30/5/2025,1,18,23.44,28.13,4,N,2,10
12,20/7/2025,1,10,23.44,28.13,123,N,2,8
13,28/2/2025,1,10,23.44,28.13,61,N,1,6
14,10/9/2025,1,10,23.44,28.13,135,N,1,8
15,23/3/2025,1,4,23.44,28.13,10,C,1,7
16,15/4/2025,1,7,23.44,28.13,71,N,2,9
17,27/11/2025,1,9,23.44,28.13,46,N,1,6
18,28/7/2025,1,10,23.44,28.13,44,N,1,10
19,20/1/2025,1,14,23.44,28.13,7,N,1,4
20,17/5/2025,1,16,23.44,28.13,43,N,2,10
21,20/4/2025,1,16,23.44,28.13,73,N,1,8
22,17/10/2025,1,9,23.44,28.13,26,N,2,8
23,3/6/2025,1,16,23.44,28.13,141,N,1,1
24,13/1/2025,1,15,23.44,28.13,64,N,2,4
25,19/7/2025,1,15,23.44,28.13,128,C,1,7
26,21/7/2025,1,10,23.44,28.13,130,N,1,8
27,7/4/2025,1,13,23.44,28.13,100,N,2,1
28,9/7/2025,1,12,23.44,28.13,147,N,2,1
29,14/5/2025,1,5,23.44,28.13,26,N,1,2
30,26/12/2025,1,17,23.44,28.13,60,N,2,1
31,27/2/2025,1,8,23.44,28.13,8,N,2,6
32,10/6/2025,1,7,23.44,28.13,81,N,1,5
33,8/4/2025,1,17,23.44,28.13,78,N,2,2
