Data,ID Canal de Venda,Situação,Opção de Compra,ID Cliente,Canal de Venda
01/01/2025,1,N,A,18,Direta
01/01/2025,2,N,U,13,Distribuidor
01/01/2025,1,N,U,10,Direta
01/01/2025,2,N,U,18,Distribuidor
01/01/2025,2,N,A,13,Distribuidor
01/01/2025,2,N,U,17,Distribuidor
01/01/2025,2,N,U,8,Distribuidor
01/01/2025,1,N,A,5,Direta
01/01/2025,2,N,U,8,Distribuidor
01/01/2025,1,N,U,3,Direta
01/01/2025,1,N,A,16,Direta
01/01/2025,1,N,U,2,Direta
01/01/2025,1,N,U,10,Direta
02/01/2025,2,N,A,1,Distribuidor
02/01/2025,2,N,U,14,Distribuidor
02/01/2025,2,N,U,3,Distribuidor
02/01/2025,2,N,U,10,Distribuidor
02/01/2025,2,N,U,1,Distribuidor
02/01/2025,1,N,U,2,Direta
02/01/2025,2,N,A,10,Distribuidor
02/01/2025,1,N,A,14,Direta
02/01/2025,1,N,U,3,Direta
02/01/2025,1,N,U,1,Direta
02/01/2025,1,N,U,11,Direta
03/01/2025,1,N,U,17,Direta
03/01/2025,1,N,U,17,Direta
03/01/2025,1,N,U,5,Direta
03/01/2025,1,N,A,1,Direta
03/01/2025,2,N,A,16,Distribuidor
03/01/2025,2,N,U,4,Distribuidor
03/01/2025,2,N,U,6,Distribuidor
03/01/2025,1,N,U,9,Direta
03/01/2025,2,N,U,10,Distribuidor
04/01/2025,2,N,U,11,Distribuidor
04/01/2025,2,N,U,6,Distribuidor
04/01/2025,1,N,U,7,Direta
04/01/2025,2,N,U,5,Distribuidor
04/01/2025,2,N,U,1,Distribuidor
04/01/2025,1,N,U,18,Direta
04/01/2025,2,N,U,18,Distribuidor
04/01/2025,2,N,U,3,Distribuidor
04/01/2025,2,N,A,17,Distribuidor
04/01/2025,1,N,A,12,Direta
04/01/2025,2,N,U,5,Distribuidor
04/01/2025,1,N,U,12,Direta
04/01/2025,1,N,U,16,Direta
04/01/2025,1,N,U,4,Direta
04/01/2025,1,N,U,2,Direta
04/01/2025,1,N,U,16,Direta
04/01/2025,2,N,A,12,Distribuidor
04/01/2025,1,N,U,4,Direta
04/01/2025,1,N,A,9,Direta
04/01/2025,1,N,U,16,Direta
04/01/2025,2,N,U,14,Distribuidor
04/01/2025,1,N,A,11,Direta
04/01/2025,1,N,U,10,Direta
04/01/2025,1,N,U,17,Direta
04/01/2025,1,N,U,14,Direta
04/01/2025,2,N,U,16,Distribuidor
05/01/2025,2,N,U,18,Distribuidor
05/01/2025,1,N,U,17,Direta
05/01/2025,2,N,A,5,Distribuidor
05/01/2025,2,N,U,17,Distribuidor
05/01/2025,1,N,U,16,Direta
05/01/2025,1,N,U,1,Direta
05/01/2025,1,N,U,13,Direta
05/01/2025,1,N,U,3,Direta
05/01/2025,1,N,A,12,Direta
05/01/2025,2,C,A,1,Distribuidor
05/01/2025,1,N,U,7,Direta
05/01/2025,2,N,A,12,Distribuidor
05/01/2025,2,N,U,17,Distribuidor
06/01/2025,1,N,U,11,Direta
06/01/2025,1,N,U,17,Direta
06/01/2025,1,N,U,7,Direta
06/01/2025,1,N,A,13,Direta
06/01/2025,2,N,U,15,Distribuidor
06/01/2025,2,N,U,13,Distribuidor
06/01/2025,1,N,U,4,Direta
06/01/2025,1,N,U,6,Direta
06/01/2025,2,C,U,7,Distribuidor
06/01/2025,1,N,A,3,Direta
06/01/2025,1,N,A,17,Direta
06/01/2025,2,N,U,17,Distribuidor
06/01/2025,2,N,U,8,Distribuidor
06/01/2025,1,N,U,3,Direta
06/01/2025,2,N,U,17,Distribuidor
06/01/2025,1,N,U,3,Direta
06/01/2025,1,N,A,5,Direta
06/01/2025,2,N,U,4,Distribuidor
06/01/2025,1,N,U,11,Direta
06/01/2025,1,N,U,1,Direta
06/01/2025,2,N,U,18,Distribuidor
07/01/2025,1,N,A,5,Direta
07/01/2025,2,N,U,5,Distribuidor
07/01/2025,1,N,U,2,Direta
07/01/2025,2,N,U,13,Distribuidor
07/01/2025,1,N,A,4,Direta
07/01/2025,2,N,U,8,Distribuidor
07/01/2025,2,N,A,12,Distribuidor
07/01/2025,2,N,U,3,Distribuidor
07/01/2025,2,N,A,7,Distribuidor
07/01/2025,2,N,A,1,Distribuidor
07/01/2025,1,N,A,2,Direta
07/01/2025,1,N,A,9,Direta
07/01/2025,2,N,U,3,Distribuidor
07/01/2025,1,N,U,15,Direta
07/01/2025,1,C,A,13,Direta
07/01/2025,2,N,A,18,Distribuidor
07/01/2025,1,N,A,10,Direta
07/01/2025,2,N,U,11,Distribuidor
08/01/2025,1,N,U,12,Direta
08/01/2025,1,N,A,1,Direta
08/01/2025,1,N,U,5,Direta
08/01/2025,1,N,U,3,Direta
08/01/2025,1,N,U,12,Direta
08/01/2025,2,N,A,15,Distribuidor
08/01/2025,2,N,U,9,Distribuidor
08/01/2025,2,N,A,3,Distribuidor
09/01/2025,1,N,A,7,Direta
09/01/2025,1,N,U,9,Direta
09/01/2025,2,N,U,9,Distribuidor
09/01/2025,1,N,U,1,Direta
09/01/2025,1,N,U,9,Direta
09/01/2025,1,N,A,9,Direta
09/01/2025,2,N,A,11,Distribuidor
09/01/2025,1,N,U,14,Direta
09/01/2025,2,N,U,17,Distribuidor
09/01/2025,1,N,U,10,Direta
09/01/2025,1,N,U,2,Direta
09/01/2025,1,N,U,12,Direta
09/01/2025,1,N,U,12,Direta
09/01/2025,2,N,A,15,Distribuidor
09/01/2025,2,N,U,9,Distribuidor
09/01/2025,2,N,U,15,Distribuidor
09/01/2025,1,C,A,18,Direta
09/01/2025,2,N,U,16,Distribuidor
10/01/2025,1,C,U,13,Direta
10/01/2025,1,N,A,1,Direta
10/01/2025,1,N,U,15,Direta
10/01/2025,2,N,U,2,Distribuidor
10/01/2025,2,N,A,12,Distribuidor
10/01/2025,1,N,U,12,Direta
10/01/2025,1,N,A,17,Direta
10/01/2025,1,N,U,6,Direta
10/01/2025,1,N,A,12,Direta
10/01/2025,1,N,U,18,Direta
10/01/2025,2,N,U,8,Distribuidor
11/01/2025,2,N,U,18,Distribuidor
11/01/2025,2,N,U,13,Distribuidor
11/01/2025,1,N,U,18,Direta
11/01/2025,1,N,U,12,Direta
11/01/2025,2,N,U,14,Distribuidor
11/01/2025,1,N,A,17,Direta
11/01/2025,1,N,U,10,Direta
